Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Singapore,Western Pacific,1232559,21068.153,23642,404.113,3645,1361,23.264,16,0.273,3
Morocco,Eastern Mediterranean,1165455,3157.511,371,1.005,0,16071,43.54,2,0.005,0
Bulgaria,Europe,1161038,16702.021,2245,32.295,332,37035,532.764,70,1.007,16
Croatia,Europe,1129836,27841.056,4113,101.351,637,15912,392.098,47,1.158,7
Cuba,Americas,1104316,9749.743,710,6.268,110,8529,75.301,2,0.018,0
Lebanon,Eastern Mediterranean,1097720,16082.761,452,6.622,0,10403,152.415,8,0.117,0
Finland,Europe,1069740,19360.787,10959,198.342,0,4284,77.534,4,0.072,0
Lithuania,Europe,1060423,37952.357,1062,38.009,146,9128,326.69,12,0.429,1
Tunisia,Eastern Mediterranean,1041197,8809.803,485,4.104,0,28575,241.78,9,0.076,0
New Zealand,Western Pacific,1026715,21291.277,52918,1097.375,7519,892,18.498,118,2.447,29
Slovenia,Europe,1018298,48586.142,4285,204.451,604,7709,367.82,6,0.286,0
Belarus,Europe,982867,10401.456,1608,17.017,0,6978,73.847,15,0.159,0
Nepal,South-East Asia,978982,3359.949,68,0.233,0,11952,41.02,0,0,0
Mongolia,Western Pacific,922227,28131.343,802,24.464,0,2111,64.393,1,0.031,0
Bolivia (Plurinational State of),Americas,905820,7759.945,608,5.209,165,21926,187.835,2,0.017,0
Uruguay,Americas,902540,25981.87,2817,81.094,0,7213,207.644,3,0.086,0
United Arab Emirates,Eastern Mediterranean,901440,9114.291,1803,18.23,364,2302,23.275,0,0,0
Ecuador,Americas,871046,4937.048,808,4.58,0,35602,201.79,4,0.023,0
Costa Rica,Americas,866164,17003.218,8874,174.201,0,8444,165.76,23,0.452,0
Guatemala,Americas,850713,4748.457,3222,17.984,458,17742,99.031,106,0.592,23
Latvia,Europe,825470,43270.997,1738,91.106,198,5796,303.825,16,0.839,2
Panama,Americas,796461,18458.957,16313,378.074,3324,8199,190.022,10,0.232,5
Azerbaijan,Europe,792655,7817.747,56,0.552,4,9709,95.757,0,0,0
Saudi Arabia,Eastern Mediterranean,757802,2176.724,3179,9.131,611,9110,26.168,14,0.04,2
Sri Lanka,South-East Asia,663632,3099.165,112,0.523,0,16510,77.102,2,0.009,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,657193,12882.566,133,2.607,0,5657,110.891,0,0,0
Paraguay,Americas,649718,9109.212,263,3.687,0,18872,264.59,2,0.028,0
Kuwait,Eastern Mediterranean,632074,14800.691,203,4.753,0,2555,59.828,0,0,0
Myanmar,South-East Asia,613088,1126.797,71,0.13,0,19434,35.718,0,0,0
Puerto Rico,Americas,588155,20558.728,32344,1130.572,6373,4245,148.382,22,0.769,5
Dominican Republic,Americas,580201,5348.505,525,4.84,0,4376,40.34,0,0,0
Bahrain,Eastern Mediterranean,575129,33799.803,4368,256.703,0,1479,86.919,2,0.118,0
Estonia,Europe,573922,43185.279,394,29.647,0,2556,192.329,2,0.15,0
Venezuela (Bolivarian Republic of),Americas,522840,1838.659,276,0.971,40,5710,20.08,1,0.004,1
Republic of Moldova,Europe,518166,12845.086,413,10.238,0,11516,285.476,13,0.322,0
Egypt,Eastern Mediterranean,513846,502.124,56,0.055,0,24669,24.106,28,0.027,0
Libya,Eastern Mediterranean,501919,7304.58,3,0.044,0,6430,93.578,0,0,0
Cyprus,Europe,486086,54739.106,2422,272.746,2422,1051,118.355,24,2.703,24
Ethiopia,Africa,470833,409.55,147,0.128,0,7510,6.533,0,0,0
Honduras,Americas,424376,4284.632,582,5.876,0,10896,110.009,1,0.01,0
Armenia,Europe,422900,14271.57,13,0.439,0,8623,291,1,0.034,0
Réunion,Africa,405980,45345.086,7865,878.465,0,762,85.11,6,0.67,0
Oman,Eastern Mediterranean,389370,7624.8,244,4.778,26,4259,83.401,1,0.02,0
Bosnia and Herzegovina,Europe,377475,11505.525,246,7.498,43,15775,480.826,7,0.213,0
Qatar,Eastern Mediterranean,365815,12697.267,920,31.933,158,677,23.498,0,0,0
Kenya,Africa,323952,602.463,134,0.249,13,5649,10.506,0,0,0
Zambia,Africa,319755,1739.316,0,0,0,3976,21.628,0,0,0
North Macedonia,Europe,310595,14908.226,533,25.583,89,9287,445.766,1,0.048,0
Botswana,Africa,306200,13020.772,0,0,0,2690,114.389,0,0,0
Albania,Europe,275485,9572.764,219,7.61,45,3497,121.516,1,0.035,0
Algeria,Africa,265808,606.161,22,0.05,2,6875,15.678,0,0,0
